brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
other,Co-op for sale,1,1,2184.207862,United States,40.755562,-73.7316684,255000,Pending,Queens,1.0
Brokered by Brown Harris Stevens,Co-op for sale,1,1,2184.207862,New York,40.9048823,-73.9051113,160000,Pending,Bronx,1.0
other,Co-op for sale,2,2,2184.207862,New York,40.7843012,-73.7761962,498000,Pending,Queens,1.0
Brokered by EXP Realty,Co-op for sale,3,1,1504.0,United States,40.7058612,-73.8565972,555000,Pending,Queens,3.0
other,House for sale,5,3,2637.0,United States,40.7291232,-73.9042682,1475000,Pending,Queens,1.6666666666666667
other,Co-op for sale,3,1,2184.207862,New York,40.714184,-73.945191,725000,Contingent,Brooklyn,3.0
other,Co-op for sale,4,4,4803.0,United States,40.5268622,-74.189752,1999999,Contingent,Staten Island,1.0
Brokered by Corcoran East Side,Condo for sale,3,3,2250.0,New York,40.7747519,-73.9561067,3795000,Pending,Manhattan,1.0
other,House for sale,3,1,2184.207862,United States,40.7158932,-73.8820836,625000,Pending,Queens,3.0
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,2,2,1094.0,New York,40.7592821,-73.9707592,1599000,Pending,Manhattan,1.0
other,Co-op for sale,4,2,2627.0,United States,40.8872408,-73.9082189,1595000,Pending,Bronx,2.0
other,Multi-family home for sale,3,2,2375.0,United States,40.8902197,-73.8385449,680000,Pending,Bronx,1.5
Brokered by COMPASS,Condo for sale,3,3,2584.0,New York,40.7142326,-74.0075258,4200000,Pending,Manhattan,1.0
Brokered by COMPASS,Co-op for sale,3,1,2184.207862,New York,40.7383084,-74.0046097,475000,Pending,Manhattan,3.0
other,House for sale,5,4,3200.0,United States,40.5883964,-73.7934995,1499000,Pending,Queens,1.25
other,Co-op for sale,1,1,2184.207862,United States,40.6013587,-74.0073583,297000,Pending,Brooklyn,1.0
Brokered by EXP Realty,House for sale,5,2,4100.0,United States,40.7107701,-73.8406935,2499000,Pending,Queens,2.5
other,House for sale,2,2,988.0,United States,40.8285177,-73.8155198,465000,Pending,Bronx,1.0
other,Condo for sale,2,2,1450.0,New York,40.764655,-73.994257,2255000,Pending,Manhattan,1.0
