brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,status,borough,bed_bath_ratio,price
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,United States,40.755562,-73.7316684,Pending,Queens,0.6931471805599453,12.449022745701502
Brokered by Brown Harris Stevens,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.9048823,-73.9051113,Pending,Bronx,0.6931471805599453,11.982935344196433
other,Co-op for sale,1.0986122886681098,1.0986122886681098,7.6894662343551055,New York,40.7843012,-73.7761962,Pending,Queens,0.6931471805599453,13.118357364036902
Brokered by EXP Realty,Co-op for sale,1.3862943611198906,0.6931471805599453,7.316548177182976,United States,40.7058612,-73.8565972,Pending,Queens,1.3862943611198906,13.22672519452875
other,House for sale,1.791759469228055,1.3862943611198906,7.87777633327726,United States,40.7291232,-73.9042682,Pending,Queens,0.9808292530117262,14.204169225721929
other,Co-op for sale,1.3862943611198906,0.6931471805599453,7.6894662343551055,New York,40.714184,-73.945191,Contingent,Brooklyn,1.3862943611198906,13.493928313146206
other,Co-op for sale,1.6094379124341003,1.6094379124341003,8.477204183199873,United States,40.5268622,-74.189752,Contingent,Staten Island,0.6931471805599453,14.508657738524219
Brokered by Corcoran East Side,Condo for sale,1.3862943611198906,1.3862943611198906,7.719129840906732,New York,40.7747519,-73.9561067,Pending,Manhattan,0.6931471805599453,15.149195232316444
other,House for sale,1.3862943611198906,0.6931471805599453,7.6894662343551055,United States,40.7158932,-73.8820836,Pending,Queens,1.3862943611198906,13.345508528717259
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,1.0986122886681098,1.0986122886681098,6.9985096422506015,New York,40.7592821,-73.9707592,Pending,Manhattan,0.6931471805599453,14.284889617206765
other,Co-op for sale,1.6094379124341003,1.0986122886681098,7.873978379604501,United States,40.8872408,-73.9082189,Pending,Bronx,1.0986122886681098,14.282384921160133
other,Multi-family home for sale,1.3862943611198906,1.0986122886681098,7.773173680482536,United States,40.8902197,-73.8385449,Pending,Bronx,0.9162907318741551,13.429849547739444
