brokertitle,type,beds,bath,propertysqft,address,state,main_address,administrative_area_level_2,locality,sublocality,street_name,long_name,formatted_address,latitude,longitude,price
Brokered by Signature Premier Properties,Co-op for sale,1,1.0,2184.207862,245-18 62nd Ave Unit Upper,"Little Neck, NY 11362","245-18 62nd Ave Unit UpperLittle Neck, NY 11362",United States,New York,Queens County,Queens,62nd Avenue,"245-18 62nd Ave, Douglaston, NY 11362, USA",40.755562,-73.7316684,255000
Brokered by Brown Harris Stevens,Co-op for sale,1,1.0,2184.207862,5601 Riverdale Ave Apt 3S,"Bronx, NY 10471","5601 Riverdale Ave Apt 3SBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5601,"5601 Riverdale Ave #3s, Bronx, NY 10471, USA",40.9048823,-73.9051113,160000
Brokered by Papa Realty,Co-op for sale,2,2.0,2184.207862,17-85 215 St Unit 6H,"Bayside, NY 11360","17-85 215 St Unit 6HBayside, NY 11360",New York,Queens County,Queens,Flushing,17-85,"17-85 215th St #6k, Flushing, NY 11360, USA",40.7843012,-73.7761962,498000
Brokered by EXP Realty,Pending,3,1.0,1504.0,80-07 Margaret Pl,"Glendale, NY 11385","80-07 Margaret PlGlendale, NY 11385",United States,New York,Queens County,Queens,Margaret Place,"80-07 Margaret Pl, Flushing, NY 11385, USA",40.7058612,-73.8565972,555000
Brokered by Trademarko Realty Inc,House for sale,5,3.0,2637.0,53-30 61st St,"Maspeth, NY 11378","53-30 61st StMaspeth, NY 11378",United States,New York,Queens County,Queens,61st Street,"53-30 61st St, Maspeth, NY 11378, USA",40.7291232,-73.9042682,1475000
Brokered by MNS,Contingent,3,1.0,2184.207862,710 Metropolitan Ave Apt 2H,"Brooklyn, NY 11211","710 Metropolitan Ave Apt 2HBrooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,710,"710 Metropolitan Ave #2h, Brooklyn, NY 11211, USA",40.714184,-73.945191,725000
"Brokered by Robert DeFalco Realty, Inc.",Contingent,4,4.0,4803.0,181 Androvette Ave,"Staten Island, NY 10312","181 Androvette AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Androvette Avenue,"181 Androvette Ave, Staten Island, NY 10312, USA",40.5268622,-74.189752,1999999
Brokered by Corcoran East Side,Condo for sale,3,3.0,2250.0,201 E 80th St Apt 16A,"New York, NY 10075","201 E 80th St Apt 16ANew York, NY 10075",New York,New York County,New York,Manhattan,201,"201 E 80th St #16a, New York, NY 10075, USA",40.7747519,-73.9561067,3795000
Brokered by Prime Realty,House for sale,3,1.0,2184.207862,64-01 Pleasantview St,"Middle Village, NY 11379","64-01 Pleasantview StMiddle Village, NY 11379",United States,New York,Queens County,Queens,Pleasantview Street,"64-01 Pleasantview St, Flushing, NY 11379, USA",40.7158932,-73.8820836,625000
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,2,2.0,1094.0,135 E 54th St Apt 14M,"New York, NY 10022","135 E 54th St Apt 14MNew York, NY 10022",New York,New York County,New York,Manhattan,135,"135 E 54th St #14b, New York, NY 10022, USA",40.7592821,-73.9707592,1599000
